Step,ObjectName,Description,Action,Input,Condition,Reference
75,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Dashboard
76,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
77,Build1,"Click the [<Object>] ",Click,,,Jenkins
78,"#5","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
79,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local8
80,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local9
81,fa fa-play-circle-o,"Click the [<Object>] ",Click,,,Watch
82,Play Video,"Click the [<Object>] ",Click,,,Page
83,vjs-menu-content,selecting value [<Data>] from unordered list .,selectValueFromUnorderedList,"@captions off, selected",,Page
84,Jenkins,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
85,vjs-mouse-display,"Click the [<Object>] ",Click,,,Page
86,Loaded: 0%Progress: 0%,"Click the [<Object>] ",Click,,,Page
87,vjs-mouse-display,"Click the [<Object>] ",Click,,,Page
88,Pause,"Click the [<Object>] ",Click,,,Page
89,Play,"Click the [<Object>] ",Click,,,Page
90,Pause,"Click the [<Object>] ",Click,,,Page
91,Play,"Click the [<Object>] ",Click,,,Page
92,Pause,"Click the [<Object>] ",Click,,,Page
93,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Dashboard
94,Jenkins,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
95,Manage Jenkins,"Click the [<Object>] ",Click,,,Dashboard
96,"Add, remove, disable or enable","Click the [<Object>] ",Click,,,Manage
97,Installed,"Click the [<Object>] ",Click,,,Update
98,filter-box,"Click the [<Object>] ",Click,,,Update
99,filter-box,Enter the value [<Data>] in the Field [<Object>],Set,@html,,Update
100,HTML Publisher plugin,"Click the [<Object>] ",Click,,,Update
101,Jenkins,"Click the [<Object>] ",Click,,,Update
102,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Dashboard
103,"#51","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
104,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local8
105,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
106,Add post-build action,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
107,Publish HTML reports,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
108,Add,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
109,_.reportFiles,Enter the value [<Data>] in the Field [<Object>],Set,@summary.html,,CITS_Freestyle_Local3
110,_.reportDir,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
111,_.reportDir,Enter the value [<Data>] in the Field [<Object>],Set,@C:\Users\Shree Ganesh\.jenkins\workspace\CITS_Freestyle_Local\Projects\SampleProject\Results\TestDesign\Spritz_Webpage\Login,,CITS_Freestyle_Local3
112,_.reportTitles,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
113,Apply,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
114,Save1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
115,Play,"Click the [<Object>] ",Click,,,Page
116,Pause,"Click the [<Object>] ",Click,,,Page
117,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
118,Configure,"Click the [<Object>] ",Click,,,Jenkins
119,_.reportDir1,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject\Results\TestDesign\Spritz_Webpage\Login,,CITS_Freestyle_Local3
120,_.reportDir1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
121,Publishing options...,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
122,_.reportDir1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
123,_.reportDir1,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject\Results\TestDesign\Spritz_Webpage\Login\Latest,,CITS_Freestyle_Local3
124,Apply1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
125,Save2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
126,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
127,Build1,"Click the [<Object>] ",Click,,,Jenkins
128,"#6","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
129,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local10
130,Play,"Click the [<Object>] ",Click,,,Page
131,Pause,"Click the [<Object>] ",Click,,,Page
132,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local11
133,HTML Report,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
134,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
135,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
136,"#61","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
137,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local10
138,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local11
139,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
140,Publishing options...,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
141,command,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
142,_.reportDir2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
143,_.reportDir2,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject\Results\TestDesign\%Release_R_Scenario%\Login\Latest,,CITS_Freestyle_Local3
144,command,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
145,_.reportDir2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
146,_.reportDir2,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject\Results\TestDesign\%Release_R_Scenario%\%TestSet_R_TestCase%\Latest,,CITS_Freestyle_Local3
147,Save3,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
148,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
149,Configure,"Click the [<Object>] ",Click,,,Jenkins
150,command,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
151,command1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
152,command1,Enter the value [<Data>] in the Field [<Object>],Set,"@IF ""%ExecutionMode%""==""TestDesign"" ( SET RUN_PROP=-scenario ""%Release_R_Scenario%"" -testcase ""%TestSet_R_TestCase%"" -browser ""%BrowserName%"" ) ELSE ( SET RUN_PROP=-release ""%Release_R_Scenario%"" -testset ""%TestSet_R_TestCase%"" )",,CITS_Freestyle_Local3
153,Delete,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
154,Apply2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
155,Save4,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
156,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
157,Build2,"Click the [<Object>] ",Click,,,Jenkins
158,"#7","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
159,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local12
160,Search,"Click the [<Object>] ",Click,,,Google
161,Search,Enter the value [<Data>] in the Field [<Object>],Set,@how to pass parameter in path of html,,Google
162,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local13
163,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
164,Search,Enter the value [<Data>] in the Field [<Object>],Set,@how to pass parameter in path of html dirctory to archive in jenkins,,Google
165,Google Search,"Click the [<Object>] ",Click,,,Google
166,_.reportDir3,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
167,_.reportDir3,Enter the value [<Data>] in the Field [<Object>],Set,@\%TestSet_R_TestCase%\Latest,,CITS_Freestyle_Local3
168,_.reportDir3,Enter the value [<Data>] in the Field [<Object>],Set,@\Latest,,CITS_Freestyle_Local3
169,Apply3,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
170,Save5,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
171,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
172,Build2,"Click the [<Object>] ",Click,,,Jenkins
173,"#8","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
174,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local14
175,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local15
176,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
177,Delete1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
178,Save6,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
179,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
180,Build2,"Click the [<Object>] ",Click,,,Jenkins
181,"#9","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
182,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local16
183,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local17
184,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
185,Add Parameter,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
186,String Parameter,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
187,parameter.name,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
188,parameter.name,Enter the value [<Data>] in the Field [<Object>],Set,@AdditionalArgs,,CITS_Freestyle_Local3
189,parameter.description1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
190,parameter.description1,Enter the value [<Data>] in the Field [<Object>],Set,@Additional Arguments if any Check CLI.,,CITS_Freestyle_Local3
191,parameter.defaultValue5,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
192,parameter.defaultValue5,Enter the value [<Data>] in the Field [<Object>],Set,@-standalone_report,,CITS_Freestyle_Local3
193,command2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
194,command2,Enter the value [<Data>] in the Field [<Object>],Set,"@IF ""%ExecutionMode%""==""TestDesign"" ( SET RUN_PROP=-scenario ""%Release_R_Scenario%"" -testcase ""%TestSet_R_TestCase%"" -browser ""%BrowserName%"" ) ELSE ( SET RUN_PROP=-release ""%Release_R_Scenario%"" -testset ""%TestSet_R_TestCase%"" Run.bat -run -project_location &quot;%ProjectLocation%&quot; %RUN_PROP% %AdditionalArgs% )",,CITS_Freestyle_Local3
195,Save7,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
196,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
197,Build1,"Click the [<Object>] ",Click,,,Jenkins
198,"#1​0","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
199,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local18
200,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local19
201,"#1​01","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
202,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local18
203,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local19
204,"#62","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
205,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local10
206,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local11
207,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
208,Build,"Click the [<Object>] ",Click,,,Jenkins
209,"#1​1","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
210,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local20
211,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local21
212,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
213,Configure,"Click the [<Object>] ",Click,,,Jenkins
214,parameter.defaultValue,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
215,parameter.defaultValue,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject,,CITS_Freestyle_Local3
216,parameter.defaultValue1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
217,parameter.defaultValue1,Enter the value [<Data>] in the Field [<Object>],Set,@Spritz_Webpage,,CITS_Freestyle_Local3
218,parameter.defaultValue2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
219,parameter.defaultValue2,Enter the value [<Data>] in the Field [<Object>],Set,@Login,,CITS_Freestyle_Local3
220,parameter.defaultValue3,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
221,parameter.defaultValue3,Enter the value [<Data>] in the Field [<Object>],Set,@Chrome,,CITS_Freestyle_Local3
222,Save8,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
223,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
224,Build1,"Click the [<Object>] ",Click,,,Jenkins
225,"#1​2","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
226,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local22
227,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local23
228,"#1​21","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
229,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local22
230,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
231,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
232,HTML Report,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
233,"#1​21","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
234,HTML Report,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local22
235,Back to #12,"Click the [<Object>] ",Click,,,Page
236,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local22
237,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
238,_.reportDir4,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
239,_.reportFiles1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
240,_.reportFiles1,Enter the value [<Data>] in the Field [<Object>],Set,@summary.html,,CITS_Freestyle_Local3
241,Save3,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
242,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
243,Build1,"Click the [<Object>] ",Click,,,Jenkins
244,"#1​3","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
245,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local24
246,"#13","Click the [<Object>] ",Click,,,CITS_Freestyle_Local25
247,HTML Report,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local24
248,Back to #13,"Click the [<Object>] ",Click,,,Page
249,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local24
250,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local25
251,HTML Report,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
252,Search,"Click the [<Object>] ",Click,,,how
253,Search,Enter the value [<Data>] in the Field [<Object>],Set,@in jenkins html report is not displaying properly,,how
254,Back to CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Page
255,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
256,Jenkins,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
257,Manage Jenkins,"Click the [<Object>] ",Click,,,Dashboard
258,Script Console,"Click the [<Object>] ",Click,,,Manage
259,Object,Enter the value [<Data>] in the Field [<Object>],Set,"@System.setProperty(""hudson.model.DirectoryBrowserSupport.CSP"", """")",,Jenkins
260,"1System.setProperty(""hudson.mo","Click the [<Object>] ",Click,,,Jenkins
261,Run,"Click the [<Object>] ",Click,,,Jenkins
262,Jenkins,"Click the [<Object>] ",Click,,,Jenkins
263,Manage Jenkins,"Click the [<Object>] ",Click,,,Dashboard
264,Script Console,"Click the [<Object>] ",Click,,,Manage
265,Object,Enter the value [<Data>] in the Field [<Object>],Set,"@System.setProperty(""hudson.model.DirectoryBrowserSupport.CSP"", """")",,Jenkins
266,"1System.setProperty(""hudson.mo","Click the [<Object>] ",Click,,,Jenkins
267,Run,"Click the [<Object>] ",Click,,,Jenkins
268,Jenkins,"Click the [<Object>] ",Click,,,Jenkins
269,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Dashboard
270,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
271,Build1,"Click the [<Object>] ",Click,,,Jenkins
272,"#1​4","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
273,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local26
274,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local27
275,HTML Report1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
276,Back to CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Page
277,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
278,_.reportDir4,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
279,Jenkins,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
280,Manage Jenkins,"Click the [<Object>] ",Click,,,Dashboard
281,Script Console,"Click the [<Object>] ",Click,,,Manage
282,Jenkins,"Click the [<Object>] ",Click,,,Jenkins
283,New Item,"Click the [<Object>] ",Click,,,Dashboard
284,Enter an item name,"Click the [<Object>] ",Click,,,New
285,Enter an item name,Enter the value [<Data>] in the Field [<Object>],Set,@CITS_Freestyle_Local,,New
286,Enter an item name,Enter the value [<Data>] in the Field [<Object>],Set,@CITS_Freestyle_Git,,New
287,j-item-options,selecting value [<Data>] from unordered list .,selectValueFromUnorderedList,"@Freestyle projectThis is the central feature of Jenkins. Jenkins will build your project, combining any SCM with any build system, and this can be even used for something other than software build.",,New
288,OK,"Click the [<Object>] ",Click,,,New
289,description,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
290,description,Enter the value [<Data>] in the Field [<Object>],Set,@CITS project taken from git repo,,CITS_Freestyle_Git
291,scm,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
292,Sign in,"Click the [<Object>] ",Click,,,The
293,Username or email address,Enter the value [<Data>] in the Field [<Object>],Set,@supriya.pote@cognizant.com,,Sign1
294,Password Forgot password?,"Click the [<Object>] ",Click,,,Sign1
295,Password Forgot password?,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@Z2JzQDEyMzQj Enc,,Sign1
296,Sign in,"Click the [<Object>] ",Click,,,Sign1
297,CI-CD-Integration,"Click the [<Object>] ",Click,,,GitHub
298,supriyaCICD,"Click the [<Object>] ",Click,,,GitHub
299,Play,"Click the [<Object>] ",Click,,,Page
300,Fullscreen,"Click the [<Object>] ",Click,,,Page
301,Pause,"Click the [<Object>] ",Click,,,Page
302,Play,"Click the [<Object>] ",Click,,,Page
303,supriyaCICD,"Click the [<Object>] ",Click,,,supriyaCICD_Git_Jenkins_Int
304,snehaCICD,"Click the [<Object>] ",Click,,,GitHub
305,Branch: master,"Click the [<Object>] ",Click,,,snehaCICD_CI-CD-Integration_
306,CITSBranch,"Click the [<Object>] ",Click,,,snehaCICD_CI-CD-Integration_
307,snehaCICD,"Click the [<Object>] ",Click,,,snehaCICD_CI-CD-Integration
308,CITSIntegration,"Click the [<Object>] ",Click,,,snehaCICD
309,Branch: master,"Click the [<Object>] ",Click,,,snehaCICD_CITSIntegration
310,TestCITS,"Click the [<Object>] ",Click,,,snehaCICD_CITSIntegration
311,_.url,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
312,_.url,Enter the value [<Data>] in the Field [<Object>],Set,@https://github.com/snehaCICD/CITSIntegration.git,,CITS_Freestyle_Git
313,_.name,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
314,_.name,Enter the value [<Data>] in the Field [<Object>],Set,@*/TestCITS,,CITS_Freestyle_Git
315,Add post-build action,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
316,Publish HTML reports,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
317,CITS_Freestyle_Git,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
318,Save,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
319,Build Now,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git1
320,"#1","Click the [<Object>] ",Click,,,CITS_Freestyle_Git1
321,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git2
322,CITS_Freestyle_Git,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git3
323,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git1
324,Advanced...,"Click the [<Object>] ",Click,,,CITS_Freestyle_Git
325,snehaCICD,"Click the [<Object>] ",Click,,,snehaCICD_CITSIntegration1
326,Repositories 2,"Click the [<Object>] ",Click,,,snehaCICD
327,Git_Jenkins_Int,"Click the [<Object>] ",Click,,,supriyaCICD
